Article Title,Publication Date,Source/Outlet,Direct URL
2 dead after twin-engine plane crashes into tractor trailers in North Fort Worth,"10/12/2025, 08:50 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/plane-crashe-fort-worth-faa-investigation/3931003/
Fort Worth could soon restrict where registered sex offenders live,"10/14/2025, 10:15 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/fort-worth-restrict-registered-sex-offenders/3932042/
What are the propositions to amend the Texas Constitution on the November ballot?,"10/13/2025, 10:03 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/politics/lone-star-politics/what-are-the-propositions-to-amend-the-texas-constitution-on-the-november-ballot/3931467/
"Feeling hopeless in custody, many drop claims to remain in the US, leave voluntarily","10/12/2025, 07:08 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/national-international/many-drop-claims-to-remain-in-us-leave-voluntarily/3930977/
Mother calls for consequences for teacher charged with injuring 5-year-old in class,"10/15/2025, 02:37 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/teacher-charged-injuring-5-year-old-in-class/3932194/
Woman facing manslaughter charge in kayaker's death headed to court Tuesday,"10/13/2025, 06:54 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/woman-facing-manslaughter-charge-kayakers-death-court-tuesday/3931364/
"Lake Worth Police search for dog, owner after dog park attack","10/11/2025, 02:27 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/lake-worth-police-dog-attack/3930666/
"Family, friends remember Dallas security guard killed in fatal Bishop Arts crash","10/14/2025, 02:50 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/dallas-security-guard-killed-fatal-bishop-arts-crash/3931613/
Tarrant County Sheriff's Office work detail program helps clean Haltom City cemetery,"10/12/2025, 10:45 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/tarrant-county-sheriffs-cemetery-cleanup-project/3931033/
Brake-checking a tailgater led to deadly road rage shooting in Frisco: Warrant,"10/11/2025, 12:46 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/frisco-warrant-deadly-shooting-possible-road-rage/3930627/
Federal judge temporarily blocks UT System from implementing new free speech law,"10/14/2025, 10:45 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/education/2025/10/14/federal-judge-temporarily-blocks-ut-system-from-implementing-new-free-speech-law/
Big Game Friday: Texas high school football scores for Oct. 9-11,"10/10/2025, 03:16 PM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/sports/hs-sports/big-game-friday-texas-high-school-football-scores-for-oct-9-11/3930360/
Is Dak Prescott’s Cowboys career destined to go same wasted way as Tony Romo’s?,"10/13/2025, 05:40 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/sports/cowboys/2025/10/13/dak-prescott-tony-romo-cowboys-career-stats-mvp/
"1 killed, 4 hurt during overnight shooting in East Dallas early Sunday","10/12/2025, 06:31 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/crime/2025/10/12/1-killed-5-hurt-during-overnight-shooting-in-east-dallas-early-sunday/
Texas trial lawyer: ‘No jury in America will hold Camp Mystic responsible’,"10/14/2025, 06:40 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/business/2025/10/14/texas-trial-lawyer-no-jury-in-america-will-hold-camp-mystic-responsible/
Grapevine basketball coach sentenced to 40 years in prison for producing child pornography,"10/14/2025, 09:09 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/crime/2025/10/14/grapevine-basketball-coach-sentenced-to-40-years-in-prison-for-producing-child-pornography/
Dallas looks to deploy AI-powered cameras on sanitation trucks to detect code violations,"10/13/2025, 12:02 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/2025/10/13/dallas-looks-to-deploy-ai-powered-cameras-on-sanitation-trucks-to-detect-code-violations/
"Prabhas Moghe, UT Dallas’ new president, wants to bridge academia and industry","10/13/2025, 11:03 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/education/2025/10/13/ut-dallas-president-prabhas-moghe/
Do Texans in Congress get paid during a government shutdown?,"10/13/2025, 11:00 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/politics/2025/10/13/do-texans-in-congress-get-paid-during-a-government-shutdown/
Constitutional amendments top November ballot in Texas. Here’s what they all mean,"10/13/2025, 02:03 PM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/elections/2025/10/13/constitutional-amendments-texas-election-ballot/
Super Bowl Home Rentals: Risky or Resourceful?,"01/25/2011, 08:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/renting-your-home-for-the-super-bowl-risk/1900528/?noamp=mobile
"More kids are severely ill or dying from the flu, CDC reports","09/25/2025, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/health/kids-are-severely-ill-or-dying-from-the-flu-cdc/3923977/
"Will the Dallas Mavericks, or something else, breathe new life into Valley View?","10/15/2025, 10:33 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/business/real-estate/2025/10/15/will-the-dallas-mavericks-or-something-else-breathe-new-life-into-valley-view/
Good or bad changes? Not your grandma’s Social Security office anymore,"10/12/2025, 11:46 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/timeless-in-texas/2025/10/12/good-or-bad-changes-not-your-grandmas-social-security-office-anymore/
"What to know before foraging for edible plants, mushrooms in backyards or public spaces","09/27/2025, 07:00 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/news/healthy-living/2025/09/27/what-to-know-before-foraging-for-edible-plants-mushrooms-in-backyards-or-public-spaces/
Trump administration revokes visas of 6 foreigners over Charlie Kirk-related speech,"10/15/2025, 12:40 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/national-international/trump-administration-revokes-visas-charlie-kirk-posts/3932168/
"If you’re building, buying or remodeling, here are the best and worst floor plan ideas","09/15/2025, 07:00 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/abode/2025/09/15/if-youre-building-buying-or-remodeling-here-are-the-best-and-worst-floor-plan-ideas/
"For these Dallas Cowboys players, training camp could be a make-or-break opportunity","07/16/2025, 07:00 AM, +0000 UTC",Dallas News,https://www.dallasnews.com/sports/cowboys/2025/07/16/for-these-dallas-cowboys-players-training-camp-could-be-a-make-or-break-opportunity/
"What happens if my ballot is damaged, mismarked or ‘spoiled?'","10/23/2024, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/politics/lone-star-politics/wrong-candidate-damaged-ballot-texas/3678796/
Enforcement of TxDOT's ‘Click It or Ticket' Campaign Begins,"11/16/2020, 08:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/traffic/enforcement-of-txdots-click-it-or-ticket-campaign-to-begin-monday/2481582/
"Did money or politics cause Colbert cancellation? Either way, the economics are tough for TV","07/19/2025, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/entertainment/entertainment-news/money-politics-colbert-late-show-cancellation-tv/3889382/
Gov. Abbott Orders Face Masks in All Texas Counties With 20 or More Cases of COVID-19,"07/02/2020, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/coronavirus/gov-abbott-orders-face-mask-in-all-texas-counties-with-20-or-more-cases-of-covid-19/2399932/
Mavs Requiring COVID-19 Vaccine or a Negative Test to Attend Games at the AAC,"09/30/2021, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/sports/mavs-requiring-covid-19-vaccine-or-a-negative-test-to-attend-games-at-american-airlines-center/2755339/
How long is refrigerated or frozen food safe after a power outage?,"05/28/2024, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/how-long-is-refrigerated-or-frozen-food-safe-after-a-power-outage/3552967/
Itchy eyes? Maybe it's mites. Maybe it's allergies. Definitely be cautious,"05/05/2025, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/health/eye-mites-allergies-optical-health/3833421/
Identification of five people killed in fiery Fort Worth crash could take weeks or months,"08/23/2024, 07:00 AM, +0000 UTC",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/identification-fatal-fort-worth-crash-fire-weeks/3628400/
